,deltaC,J
0,0.3580673325447875,0.07991158537900873
1,0.37464520625804054,0.09900052386393768
2,0.39109000587760934,0.11449477565268797
3,0.40793956941197207,0.14871850045987658
4,0.4253311493894898,0.17108191172095924
5,0.44336287233626503,0.18785250675829857
6,0.45763223420821,0.03343160979165863
7,0.4729278001800714,0.16041966177658296
8,0.49110597777720777,0.22745696080228484
9,0.5079568934472625,0.25228912583326835
10,0.5253569555856605,0.2618736463015505
11,0.5417004785776424,0.2701390570848786
12,0.5583707327580463,0.27563135097383284
13,0.5751841105209277,0.28116228806220345
14,0.5914274517593145,0.2849263168889564
15,0.6087256827046647,0.2906774707773164
16,0.625020136377904,0.3041655898367953
17,0.6418151529359439,0.3105580293184667
18,0.6583160143784632,0.32100385348144694
19,0.6753013457993645,0.329230024685309
20,0.692091744553943,0.34127757923383656
21,0.7083748459219265,0.34779148689598227
22,0.7247884244082601,0.37187041562482354
23,0.7415209125746003,0.386777546486831
24,0.759419866201316,0.40530783321261354
25,0.7758196699871803,0.42456868866063413
26,0.7909439519519367,0.44333236111463636
27,0.8076968524334521,0.4568553412647536
28,0.8247095164962153,0.4725609332467685
29,0.8402993169031228,0.4869852073600919
30,0.8564366256709864,0.5022188194648849
31,0.8748721063276905,0.5197072552283334
32,0.8922033158491334,0.53844812775257
33,0.9096001412045398,0.5537308667869991
34,0.9254831261292649,0.5714774644385437
35,0.9409481837773781,0.5875714812486992
36,0.9573373418450672,0.6079049753121409
